question_template,program,state,model,majority_answer,agreement_rate,sources,avg_confidence
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,google/gemma-4-26b-a4b-it,"In California, public records requests are governed by the California Public Records Act (CPRA). Agencies are required to respond to a request for records within 10 days. This response must either notify the requester that the request has been received and is being processed, deny the request, or notify the requester that certain portions of the request are exempt from disclosure. The 10-day period is for an initial response/determination, not necessarily for the full production of all records, which may take longer depending on the complexity of the request and extensions allowed under the law.",0.2,California Department of Justice - California Public Records Act (https://oag.ca.gov/public-records) | California State Archives (https://archives.ca.gov/) | California State Legislature - California Public Records Act (Government Code Section 7920.000 et seq.) | https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=1.&lawCode=GOV&object=California_Government_Code%216000-%216499.xhtml | https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=1.&lawCode=GOV&title=2.&object=0,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,google/gemma-4-26b-a4b-it,"In New York, public records requests are governed by the Freedom of Information Law (FOIL). Under FOIL, agencies are required to respond to a request within five business days. The response must either grant or deny the request, or provide a reasonable estimate of the time it will take to comply.",0.2,New York State Committee on Open Government (https://open.ny.gov/foil) | New York State Committee on Open Government (https://opencm.ny.gov/foil/foil-basics) | New York State Committee on Open Government (https://opengov.ny.gov/freedom-information-law-foil) | https://open.ny.gov/freedom-information-law-foil | https://www.dos.ny.gov/freedom-information-law,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,google/gemma-4-26b-a4b-it,"In Texas, under the Public Information Act, a governmental body must promptly release information that is not excepted from disclosure. If the agency intends to withhold information based on an exception, it must request an attorney general opinion within 10 business days after receiving the request. While there is no specific mandated number of days for a 'response' to a simple request, the 10-day rule governs the process for deciding whether information can be withheld.",0.2,Texas Attorney General - Public Information Act | Texas Attorney General - Public Information Act (https://www.texasattorneygeneral.gov/public-information),3.0
What is the state-level administration address for {program} in {state}?,SNAP,MA,google/gemma-4-26b-a4b-it,"The SNAP program in Massachusetts is administered by the Department of Transitional Assistance (DTA). The main administrative address for the DTA is 100 Cambridge Street, Boston, MA 02118.",0.2,https://www.mass.gov/orgs/department-of-transitional-assistance,3.0
What is the state-level administration address for {program} in {state}?,SNAP,RI,google/gemma-4-26b-a4b-it,"The Rhode Island Department of Human Services (RI DHS) administers the Supplemental Nutrition Assistance Program (SNAP). The main administrative address for the Department of Human Services is 60 Washington Street, Providence, RI 02903.",0.2,https://dhs.ri.gov/,3.0
What is the state-level administration address for {program} in {state}?,SNAP,CA,google/gemma-4-26b-a4b-it,"In California, the SNAP program (known as CalFresh) is administered by the California Department of Social Services (CDSS). The state-level administration address is: California Department of Social Services, 1001тельность Street, Sacramento, CA 95814.",0.2,https://www.cdss.ca.gov/,3.0
What is the state-level administration address for {program} in {state}?,SNAP,NY,google/gemma-4-26b-a4b-it,"The state-level administration for SNAP (Supplemental Nutrition Assistance Program) in New York is managed by the New York State Office of Temporary and Disability Assistance (OTDA). The administrative address is: New York State Office of Temporary and Disability Assistance, 64 Battle Grove, Albany, NY 12203.",0.2,https://otda.ny.gov/,3.0
What is the state-level administration address for {program} in {state}?,SNAP,TX,google/gemma-4-26b-a4b-it,"The Texas Health and Human Services Commission (HHSC) is the state agency responsible for administering SNAP in Texas. The main administrative headquarters is located at 409 West Taylor Street, Austin, TX 78701.",0.2,https://www.hhs.texas.gov/,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,google/gemma-4-26b-a4b-it,"The Massachusetts Department of Public Health (DPH), which administers the WIC program, directs public records requests to their designated public records officer. While specific direct email addresses for individual departments can change, the official method for submitting a public records request to the Department of Public Health is via the Massachusetts Public Records Request Portal or by contacting the DPH Public Records Officer.",0.2,https://www.mass.gov/about-massachusetts/public-records-requests | https://www.mass.gov/how-to/submit-a-public-records-request | https://www.mass.gov/service-details/submit-a-public-records-request,2.8
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,google/gemma-4-26b-a4b-it,"The Rhode Island Department of Health (RIDOH) administers the WIC program. For public records requests, you can submit requests through the Rhode Island Department of Health's official portal or contact them via email at ridoh.publicrecords@ri.gov.",0.2,https://health.ri.gov/about-us/public-records-requests/ | https://health.ri.gov/about/contact/ | https://health.ri.gov/about/public-records-requests/ | https://health.ri.gov/about/public-records/,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,google/gemma-4-26b-a4b-it,"The California Department of Social Services (CDSS) administers the WIC program. For public records requests (California Public Records Act requests), you can submit a request via their online portal or contact their legal unit. While they do not list a single specific 'email address' solely for WIC records, public records requests are generally directed to the CDSS Legal Unit or submitted through the official CDSS Public Records Request portal at https://www.cdss.ca.gov/contact-us/public-records-requests.",0.2,https://www.cdss.ca.gov/ | https://www.cdss.ca.gov/contact-us/public-records-requests | https://www.cdss.ca.gov/inforesources/public-records-act-requests | https://www.cdss.ca.gov/inforesources/public-records-requests,2.4
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,google/gemma-4-26b-a4b-it,"The New York State Department of Health, which administers the WIC (Women, Infants, and Children) program, handles public records requests through its FOIL (Freedom of Information Law) process. While the agency provides an online portal for requests, the specific email address for submitting FOIL requests to the Department of Health is foil@health.ny.gov.",0.2,https://www.health.ny.gov/freedom_of_information/ | https://www.health.ny.gov/freedom_of_information_law/ | https://www.health.ny.gov/information/foil/ | https://www.health.ny.gov/part/foil/,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,google/gemma-4-26b-a4b-it,"The Texas Health and Human Services Commission (HHSC), which administers the WIC program in Texas, directs public information requests to their central Public Information Act coordinator. While they do not list a specific standalone email address for WIC-only requests, general public information requests for HHSC can be submitted via their online portal or via the agency's general contact methods. For formal requests, the agency typically utilizes its centralized Public Information Act process.",0.2,https://www.hhs.texas.gov/about-hhs/public-information-act | https://www.hhs.texas.gov/about-hhsc/public-information-act | https://www.hhs.texas.gov/about-hhsc/public-information-requests,2.8
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,google/gemma-4-26b-a4b-it,"The public can contact the Department of Transitional Assistance (DTA), which administers LIHEAP in Massachusetts, at 1-866-668-8693.",0.2,https://www.mass.gov/info-details/low-income-home-energy-assistance-program-liheap | https://www.mass.gov/service-details/apply-for-energy-assistance-liheap | https://www.mass.gov/service-details/apply-for-low-income-home-energy-assistance-program-liheap | https://www.mass.gov/service/apply-for-low-income-home-energy-assistance-program-liheap | https://www.mass.gov/service/low-income-home-energy-assistance-program-liheap,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,google/gemma-4-26b-a4b-it,"The public can contact the Rhode Island Department of Human Services (RI DHS), which administers the Low Income Home Energy Assistance Program (LIHEAP), at 401-462-8119 or 1-855-462-8119.",0.2,https://dhs.ri.gov/,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,google/gemma-4-26b-a4b-it,"In California, the Low Income Home Energy Assistance Program (LIHEAP) is administered by the California Department of Social Services (CDSS). The public can contact the CDSS at (916) 651-3100.",0.2,California Department of Community Services and Development (CSD) - https://dcsd.ca.gov/ | California Department of Social Services (https://www.cdss.ca.gov/) | https://www.cdss.ca.gov/inforesources/calaid/liheap | https://www.cdss.ca.gov/inforesources/community-care-services/low-income-energy-assistance-program-liheap | https://www.cdss.ca.gov/inforesources/liheap,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,google/gemma-4-26b-a4b-it,"In New York, the Office of Temporary and Disability Assistance (OTDA) oversees the administration of LIHEAP (Low Income Home Energy Assistance Program). The general information line for the OTDA is 1-888-225-5631. However, because LIHEAP is administered locally through county social services, residents are typically directed to contact their specific local Department of Social Services (DSS) or Human Resources Administration (HRA) for application and assistance.",0.2,https://otda.ny.gov/ | https://otda.ny.gov/energy-assistance | https://otda.ny.gov/help-for-individuals/energy-assistance | https://otda.ny.gov/otda-customer-service-center | https://otda.ny.gov/programs/energy-assistance/index.htm,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,google/gemma-4-26b-a4b-it,"The public can contact the Texas Health and Human Services Commission (HHSC), which administers the Low Income Home Energy Assistance Program (LIHEAP), at 2-1-1. Additionally, for specific questions regarding LIHEAP, individuals can contact the agency's contact center at 1-877-440-7178.",0.2,https://www.hhs.texas.gov | https://www.hhs.texas.gov/ | https://www.hhs.texas.gov/services/energy-utilities/low-income-home-energy-assistance-program-liheap,3.0
