question_template,program,state,model,run_number,question_type,ground_truth,answer_extracted,source,confidence,run_correct
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,openai/gpt-oss-120b:free,5,email,pamela.lopes@health.ri.gov,publicrecords@dph.ri.gov,https://dph.ri.gov/about/public-records-request,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,openai/gpt-oss-120b:free,1,email,WIC@cdph.ca.gov,The public records requests email address for the agency that administers WIC in California (California Department of Public Health – Food and Nutrition Program) is: WICPublicRecords@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CFD/Pages/Public-Records.aspx,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,openai/gpt-oss-120b:free,2,email,WIC@cdph.ca.gov,foia@cde.ca.gov,https://www.cde.ca.gov/ls/foia/default.asp,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,openai/gpt-oss-120b:free,3,email,WIC@cdph.ca.gov,publicrecords@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CHSI/Pages/Public-Records-Requests.aspx,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,openai/gpt-oss-120b:free,4,email,WIC@cdph.ca.gov,FOIARequests@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CFH/Daily-Operations-Food-Nutrition/WIC/Pages/Contact-Us.aspx,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,openai/gpt-oss-120b:free,5,email,WIC@cdph.ca.gov,wic@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CFH/Pages/WIC-Contact-Us.aspx,high,True
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,openai/gpt-oss-120b:free,1,email,foil@health.ny.gov,WICRequests@health.ny.gov,https://www.health.ny.gov/programs/wic/contact/,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,openai/gpt-oss-120b:free,2,email,foil@health.ny.gov,wic@health.ny.gov,https://www.health.ny.gov/programs/public_health/wic/contact/,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,openai/gpt-oss-120b:free,3,email,foil@health.ny.gov,records@health.ny.gov,https://www.health.ny.gov/foundations/wic/records_request.htm,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,openai/gpt-oss-120b:free,4,email,foil@health.ny.gov,WICPublicRecords@health.ny.gov,https://www.health.ny.gov/programs/wic/contact/,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,openai/gpt-oss-120b:free,5,email,foil@health.ny.gov,foia@health.ny.gov,https://www.health.ny.gov/about/contact/foia.shtml (New York State Department of Health FOIA contact page),high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,openai/gpt-oss-120b:free,1,email,OpenRecordsRequest@hhs.texas.gov,The Texas Department of State Health Services – WIC Program can be contacted for public records requests via email at publicrecords@dshs.texas.gov.,https://www.dshs.texas.gov/about/contactus/ (Texas Department of State Health Services contact page),high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,openai/gpt-oss-120b:free,2,email,OpenRecordsRequest@hhs.texas.gov,wic@dshs.texas.gov,https://www.dshs.texas.gov/wic/,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,openai/gpt-oss-120b:free,3,email,OpenRecordsRequest@hhs.texas.gov,publicrecords@texashealth.org,https://www.texas.gov/public-records-request/,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,openai/gpt-oss-120b:free,4,email,OpenRecordsRequest@hhs.texas.gov,The Texas Department of State Health Services – WIC Program can be contacted for public records requests via email at: requests@dshs.texas.gov,https://www.dshs.texas.gov/wic/public-records.asp,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,openai/gpt-oss-120b:free,5,email,OpenRecordsRequest@hhs.texas.gov,The public records requests email address for the agency that administers WIC in Texas (Texas Department of State Health Services – Family Nutrition Services) is: publicrecords@dshs.texas.gov,https://www.dshs.texas.gov/benefits/wic/contacts.aspx,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,openai/gpt-oss-120b:free,1,phone,(800) 632-8175,1‑800‑841‑5877 (Massachusetts Office of Energy Efficiency and Renewable Resources – LIHEAP Customer Service),https://www.mass.gov/info-details/low-income-home-energy-assistance-program-liheap,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,openai/gpt-oss-120b:free,2,phone,(800) 632-8175,The public can contact the Massachusetts Low Income Home Energy Assistance Program (LIHEAP) by calling 1‑800‑230‑5023.,https://www.mass.gov/service-details/low-income-home-energy-assistance-program-liheap,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,openai/gpt-oss-120b:free,3,phone,(800) 632-8175,1-800-783-6892,Mass.gov – Low Income Home Energy Assistance Program (LIHEAP) contact information,low,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,openai/gpt-oss-120b:free,4,phone,(800) 632-8175,1‑800‑941‑3848,https://www.mass.gov/service-details/low-income-home-energy-assistance-program-liheap,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,openai/gpt-oss-120b:free,5,phone,(800) 632-8175,1-800-626-4742,https://www.mass.gov/info-details/low-income-home-energy-assistance-program-liheap,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,openai/gpt-oss-120b:free,1,phone,1-855-697-4347,1‑800‑742‑6855 (the Rhode Island LIHEAP Hotline),https://health.ri.gov/publications/pdf/LIHEAP%20Customer%20Service%20Guide.pdf,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,openai/gpt-oss-120b:free,2,phone,1-855-697-4347,The public should call the Rhode Island Office of Energy Conservation at 401‑462‑3329 for LIHEAP assistance.,https://eeco.ri.gov/energy-assistance/liheap/,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,openai/gpt-oss-120b:free,3,phone,1-855-697-4347,The public can contact the Rhode Island Office of Energy Assistance at 1‑877‑388‑1914 (toll‑free) for LIHEAP services.,https://www.energyri.com/energy-assistance/liheap,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,openai/gpt-oss-120b:free,4,phone,1-855-697-4347,1‑800‑242‑7615 (RI LIHEAP Hotline),https://www.energy.gov/eere/femp/life-heat-energy-assistance-program-liheap-rhode-island,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,openai/gpt-oss-120b:free,5,phone,1-855-697-4347,"For LIHEAP inquiries in Rhode Island, the public should call the Division of Energy Assistance at the Rhode Island Department of Human Services: (401) 462‑5005.",https://dhs.ri.gov/energy-assistance,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,openai/gpt-oss-120b:free,1,phone,1-866-675-6623,1‑800‑952‑6489 (California Department of Community Services and Development – LIHEAP Customer Service),https://www.csd.ca.gov/Programs/LIHEAP/Contact-Us/,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,openai/gpt-oss-120b:free,2,phone,1-866-675-6623,1‑800‑952‑7078 (California Department of Community Services and Development – LIHEAP Customer Service),https://www.csd.ca.gov/Programs/Low-Income-Home-Energy-Assistance-Program-LIHEAP/,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,openai/gpt-oss-120b:free,3,phone,1-866-675-6623,1‑800‑952‑7255 (California Department of Community Services and Development LIHEAP Hotline),https://www.cdss.ca.gov/Information-Resources/Utility-Assistance/Low-Income-Home-Energy-Assistance-Program,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,openai/gpt-oss-120b:free,4,phone,1-866-675-6623,The public should call California’s LIHEAP Customer Service Center at 1‑800‑952‑4242.,https://www.csd.ca.gov/energy-assistance/low-income-home-energy-assistance-program-liheap,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,openai/gpt-oss-120b:free,5,phone,1-866-675-6623,1-800-952-5210 (California Department of Community Services and Development LIHEAP Call Center),https://www.dcsd.ca.gov/Programs/LIHEAP/,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,openai/gpt-oss-120b:free,1,phone,1-800-342-3009,1-800-342-2875 (LIHEAP Consumer Hotline for New York State),https://www.ny.gov/services/low-income-home-energy-assistance-program-liheap,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,openai/gpt-oss-120b:free,2,phone,1-800-342-3009,Call the New York State Office of Temporary and Disability Assistance (OTDA) Energy Programs at 1‑844‑342‑8900 for LIHEAP assistance.,https://otda.ny.gov/programs/energy-and-utilities/low-income-home-energy-assistance-program-liheap/,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,openai/gpt-oss-120b:free,3,phone,1-800-342-3009,The public should contact the New York State Office of Temporary and Disability Assistance (OTDA) LIHEAP program at 1‑800‑771‑8214.,https://otda.ny.gov/programs/energy-assistance/low-income-home-energy-assistance-program-liheap/,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,openai/gpt-oss-120b:free,4,phone,1-800-342-3009,Call the New York State LIHEAP Helpline at 1‑800‑342‑3712.,https://otda.ny.gov/programs/energy-assistance/liq/heating-assistance-programs/liheap/,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,openai/gpt-oss-120b:free,5,phone,1-800-342-3009,The public can contact the New York State Department of Social Services LIHEAP office at 1‑800‑342‑3376.,https://www.ny.gov/services/low-income-home-energy-assistance-program-liheap,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,openai/gpt-oss-120b:free,1,phone,1-877-399-8939,1-800-252-8683,https://hhs.texas.gov/assistance/utility-bill-assistance/low-income-home-energy-assistance-program-liheap/contact-us,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,openai/gpt-oss-120b:free,2,phone,1-877-399-8939,Phone: 1‑800‑826‑6185 (Texas Health and Human Services Commission LIHEAP Customer Service),https://hhs.texas.gov/services/energy-assistance/low-income-home-energy-assistance-program-liheap/contact-us,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,openai/gpt-oss-120b:free,3,phone,1-877-399-8939,The Texas Low Income Home Energy Assistance Program (LIHEAP) can be reached at the statewide LIHEAP Information Line: 1‑800‑252‑8263 (English) or 1‑800‑252‑8262 (Spanish).,https://hhs.texas.gov/doing-business/licensing/energy-assistance/low-income-home-energy-assistance-program-liheap,medium,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,openai/gpt-oss-120b:free,4,phone,1-877-399-8939,Call the Texas Health and Human Services Commission LIHEAP contact center at 1‑877‑245‑6334.,https://hhs.texas.gov/services/financial-assistance/low-income-home-energy-assistance-program-liheap,high,False
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,openai/gpt-oss-120b:free,5,phone,1-877-399-8939,"877-541-7905 (Texas LIHEAP helpline) – available Monday‑Friday, 8 a.m. to 5 p.m. Central Time.",https://hhs.texas.gov/doing-business/programs/low-income-home-energy-assistance-program-liheap/contact-liheap,high,False
Which agency administers {program} in {state}?,SNAP,MA,anthropic/claude-opus-4.7,1,agency,The Massachusetts Department of Transitional Assistance (DTA),"The Department of Transitional Assistance (DTA), part of the Massachusetts Executive Office of Health and Human Services, administers SNAP in Massachusetts.",https://www.mass.gov/snap-benefits-formerly-food-stamps,high,True
Which agency administers {program} in {state}?,SNAP,MA,anthropic/claude-opus-4.7,2,agency,The Massachusetts Department of Transitional Assistance (DTA),"The Department of Transitional Assistance (DTA), which is part of the Massachusetts Executive Office of Health and Human Services, administers SNAP in Massachusetts.",https://www.mass.gov/snap-benefits-formerly-food-stamps,high,True
Which agency administers {program} in {state}?,SNAP,MA,anthropic/claude-opus-4.7,3,agency,The Massachusetts Department of Transitional Assistance (DTA),"The Department of Transitional Assistance (DTA), which is part of the Massachusetts Executive Office of Health and Human Services, administers SNAP in Massachusetts.",https://www.mass.gov/snap-benefits-formerly-food-stamps,high,True
Which agency administers {program} in {state}?,SNAP,MA,anthropic/claude-opus-4.7,4,agency,The Massachusetts Department of Transitional Assistance (DTA),"The Department of Transitional Assistance (DTA), which is part of the Massachusetts Executive Office of Health and Human Services, administers SNAP in Massachusetts.",https://www.mass.gov/snap-benefits-formerly-food-stamps,high,True
Which agency administers {program} in {state}?,SNAP,MA,anthropic/claude-opus-4.7,5,agency,The Massachusetts Department of Transitional Assistance (DTA),"The Department of Transitional Assistance (DTA), which is part of the Massachusetts Executive Office of Health and Human Services, administers SNAP in Massachusetts.",https://www.mass.gov/snap-benefits-formerly-food-stamps,high,True
Which agency administers {program} in {state}?,SNAP,RI,anthropic/claude-opus-4.7,1,agency,The Rhode Island Department of Human Services (DHS),The Rhode Island Department of Human Services (DHS) administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.,https://dhs.ri.gov/programs-and-services/supplemental-nutrition-assistance-program-snap,high,True
Which agency administers {program} in {state}?,SNAP,RI,anthropic/claude-opus-4.7,2,agency,The Rhode Island Department of Human Services (DHS),The Rhode Island Department of Human Services (DHS) administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.,https://dhs.ri.gov/programs-and-services/supplemental-nutrition-assistance-program-snap,high,True
Which agency administers {program} in {state}?,SNAP,RI,anthropic/claude-opus-4.7,3,agency,The Rhode Island Department of Human Services (DHS),The Rhode Island Department of Human Services (DHS) administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.,https://dhs.ri.gov/programs-and-services/supplemental-nutrition-assistance-program-snap,high,True
Which agency administers {program} in {state}?,SNAP,RI,anthropic/claude-opus-4.7,4,agency,The Rhode Island Department of Human Services (DHS),The Rhode Island Department of Human Services (DHS) administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.,https://dhs.ri.gov/programs-and-services/supplemental-nutrition-assistance-program-snap,high,True
Which agency administers {program} in {state}?,SNAP,RI,anthropic/claude-opus-4.7,5,agency,The Rhode Island Department of Human Services (DHS),The Rhode Island Department of Human Services (DHS) administers SNAP in Rhode Island.,https://dhs.ri.gov/programs-and-services/supplemental-nutrition-assistance-program-snap,high,True
Which agency administers {program} in {state}?,SNAP,CA,anthropic/claude-opus-4.7,1,agency,The California Department of Social Services (CDSS),"The California Department of Social Services (CDSS) administers SNAP in California, where the program is known as CalFresh. It is administered at the local level by county human services agencies.",https://www.cdss.ca.gov/calfresh,high,True
Which agency administers {program} in {state}?,SNAP,CA,anthropic/claude-opus-4.7,2,agency,The California Department of Social Services (CDSS),"The California Department of Social Services (CDSS) administers SNAP in California, where the program is known as CalFresh. It is administered at the local level by county human services agencies.",https://www.cdss.ca.gov/calfresh,high,True
Which agency administers {program} in {state}?,SNAP,CA,anthropic/claude-opus-4.7,3,agency,The California Department of Social Services (CDSS),"The California Department of Social Services (CDSS) administers SNAP in California, where the program is known as CalFresh. It is administered at the local level by county human services agencies.",https://www.cdss.ca.gov/calfresh,high,True
Which agency administers {program} in {state}?,SNAP,CA,anthropic/claude-opus-4.7,4,agency,The California Department of Social Services (CDSS),"The California Department of Social Services (CDSS) administers SNAP in California, where the program is known as CalFresh. It is administered at the local level by county human services agencies.",https://www.cdss.ca.gov/calfresh,high,True
Which agency administers {program} in {state}?,SNAP,CA,anthropic/claude-opus-4.7,5,agency,The California Department of Social Services (CDSS),"The California Department of Social Services (CDSS) administers SNAP in California, where the program is known as CalFresh. It is administered at the local level by county human services agencies.",https://www.cdss.ca.gov/calfresh,high,True
Which agency administers {program} in {state}?,SNAP,NY,anthropic/claude-opus-4.7,1,agency,The New York State Office of Temporary and Disability Assistance (OTDA),The Office of Temporary and Disability Assistance (OTDA) administers SNAP in New York State.,https://otda.ny.gov/programs/snap/,high,True
Which agency administers {program} in {state}?,SNAP,NY,anthropic/claude-opus-4.7,2,agency,The New York State Office of Temporary and Disability Assistance (OTDA),"The New York State Office of Temporary and Disability Assistance (OTDA) administers SNAP in New York, with local social services districts (such as the NYC Human Resources Administration) handling application processing and day-to-day operations.",https://otda.ny.gov/programs/snap/,high,True
Which agency administers {program} in {state}?,SNAP,NY,anthropic/claude-opus-4.7,3,agency,The New York State Office of Temporary and Disability Assistance (OTDA),The Supplemental Nutrition Assistance Program (SNAP) in New York is administered by the New York State Office of Temporary and Disability Assistance (OTDA).,https://otda.ny.gov/programs/snap/,high,True
Which agency administers {program} in {state}?,SNAP,NY,anthropic/claude-opus-4.7,4,agency,The New York State Office of Temporary and Disability Assistance (OTDA),"The New York State Office of Temporary and Disability Assistance (OTDA) administers the Supplemental Nutrition Assistance Program (SNAP) in New York. Local social services districts (county Departments of Social Services, and the Human Resources Administration in New York City) handle applications and day-to-day case management.",https://otda.ny.gov/programs/snap/,high,True
Which agency administers {program} in {state}?,SNAP,NY,anthropic/claude-opus-4.7,5,agency,The New York State Office of Temporary and Disability Assistance (OTDA),The New York State Office of Temporary and Disability Assistance (OTDA) administers the Supplemental Nutrition Assistance Program (SNAP) in New York. Local county departments of social services (and the Human Resources Administration in New York City) handle day-to-day application processing and case management.,https://otda.ny.gov/programs/snap/,high,True
Which agency administers {program} in {state}?,SNAP,TX,anthropic/claude-opus-4.7,1,agency,The Texas Health and Human Services Commission (HHSC),The Texas Health and Human Services Commission (HHSC) administers SNAP in Texas.,https://www.hhs.texas.gov/services/food/snap-food-benefits,high,True
Which agency administers {program} in {state}?,SNAP,TX,anthropic/claude-opus-4.7,2,agency,The Texas Health and Human Services Commission (HHSC),The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas.,https://www.hhs.texas.gov/services/food/snap-food-benefits,high,True
Which agency administers {program} in {state}?,SNAP,TX,anthropic/claude-opus-4.7,3,agency,The Texas Health and Human Services Commission (HHSC),The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas.,https://www.hhs.texas.gov/services/food/snap-food-benefits,high,True
Which agency administers {program} in {state}?,SNAP,TX,anthropic/claude-opus-4.7,4,agency,The Texas Health and Human Services Commission (HHSC),The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas.,https://www.hhs.texas.gov/services/food/snap-food-benefits,high,True
Which agency administers {program} in {state}?,SNAP,TX,anthropic/claude-opus-4.7,5,agency,The Texas Health and Human Services Commission (HHSC),The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas.,https://www.hhs.texas.gov/services/food/snap-food-benefits,high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,anthropic/claude-opus-4.7,1,response_time,10 business days with 20-30 business days extension,"Under the Massachusetts Public Records Law (M.G.L. c. 66, § 10), agencies (known as Records Access Officers or RAOs) generally must respond to public records requests within 10 business days of receipt. This applies to records requests directed at MassHealth (Massachusetts Medicaid) as it does to other state agencies. The initial response must either provide the records, identify any records being withheld with reasons, or provide a good-faith estimate of the time and fees required. Extensions may be granted by the Supervisor of Records for up to 20 additional business days (or longer in limited circumstances).","https://www.mass.gov/public-records-law (M.G.L. c. 66, § 10; 950 CMR 32.00)",high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,anthropic/claude-opus-4.7,2,response_time,10 business days with 20-30 business days extension,"Under the Massachusetts Public Records Law (M.G.L. c. 66, § 10), agencies (known as Records Access Officers) must respond to public records requests within 10 business days of receipt. This applies to requests for Medicaid (MassHealth) records as well. The initial response must either provide the records, indicate when they will be provided, or explain any applicable exemptions. Agencies may request an extension from the Supervisor of Records for more complex requests (up to 25 business days for municipalities and an extended period for state agencies, subject to approval).","https://www.mass.gov/handbook/a-guide-to-the-massachusetts-public-records-law (Massachusetts Secretary of the Commonwealth, Public Records Division); M.G.L. c. 66, § 10",high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,anthropic/claude-opus-4.7,3,response_time,10 business days with 20-30 business days extension,"Under the Massachusetts Public Records Law (M.G.L. c. 66, § 10), agencies (records access officers) generally must respond to public records requests within 10 business days of receipt. This applies to records requests made to MassHealth (the Massachusetts Medicaid agency) as well as other state agencies. The initial response must either provide the records, identify them and give a reasonable timeline for production, or explain any denial. If more time is needed, an agency can request an extension from the Supervisor of Records, but any extension generally cannot exceed 25 business days from the initial receipt for state agencies without further approval.","https://www.mass.gov/public-records-law (Massachusetts Public Records Law, M.G.L. c. 66, § 10); 950 CMR 32.00",high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,anthropic/claude-opus-4.7,4,response_time,10 business days with 20-30 business days extension,"Under the Massachusetts Public Records Law (M.G.L. c. 66, § 10), agencies (Records Access Officers) generally must respond to public records requests within 10 business days of receipt. This applies to requests for Medicaid (MassHealth) records as well. The initial response must either provide the records, identify the records and any applicable fees, or explain why the records cannot be provided. If more time is needed, an agency may petition the Supervisor of Records for an extension, which can extend the response time up to 20 business days for municipalities or longer with approval.","https://www.mass.gov/handbook/a-guide-to-the-massachusetts-public-records-law (Secretary of the Commonwealth, Public Records Division); M.G.L. c. 66, § 10",high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,anthropic/claude-opus-4.7,5,response_time,10 business days with 20-30 business days extension,"Under the Massachusetts Public Records Law (M.G.L. c. 66, § 10), agencies (Records Access Officers) must respond to public records requests within 10 business days of receipt. This general timeline applies to requests for records from MassHealth (the state's Medicaid program) as well. The initial response must either provide the records, identify them and give a good-faith estimate of any fees, or explain any withholdings. If more time is needed, the agency may petition the Supervisor of Records for an extension, but production generally must occur within 15 business days (for agencies) or 25 business days (for municipalities), with extensions available up to a limit.","https://www.mass.gov/handbook/a-guide-to-the-massachusetts-public-records-law (Secretary of the Commonwealth) and M.G.L. c. 66, § 10",high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,anthropic/claude-opus-4.7,1,response_time,10 business days with 20 business days extension,"Under the Rhode Island Access to Public Records Act (APRA), public agencies generally have 10 business days to respond to a public records request. This deadline can be extended by an additional 20 business days if the agency demonstrates good cause (such as the request being voluminous or requiring legal review). This general APRA timeline applies to Medicaid-related records requests made to the Rhode Island Executive Office of Health and Human Services (EOHHS) or the Department of Human Services.",Rhode Island General Laws § 38-2-3(e) (Access to Public Records Act); http://webserver.rilin.state.ri.us/Statutes/TITLE38/38-2/38-2-3.HTM,high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,anthropic/claude-opus-4.7,2,response_time,10 business days with 20 business days extension,"Under the Rhode Island Access to Public Records Act (APRA), public bodies generally must respond to public records requests within 10 business days. This deadline may be extended by an additional 20 business days if the public body demonstrates that the voluminous nature of the request, the number of requests pending, or the difficulty in searching for and retrieving the records makes compliance within 10 business days impracticable. These timeframes apply to records requests made to Rhode Island state agencies, including those concerning Medicaid records held by the Executive Office of Health and Human Services (EOHHS).","Rhode Island General Laws § 38-2-3(e) (Access to Public Records Act), http://webserver.rilin.state.ri.us/Statutes/TITLE38/38-2/38-2-3.HTM",high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,anthropic/claude-opus-4.7,3,response_time,10 business days with 20 business days extension,"Under the Rhode Island Access to Public Records Act (APRA), public bodies must respond to public records requests within 10 business days. This deadline can be extended by an additional 20 business days if the agency shows good cause (such as voluminous records or the need to consult with legal counsel), for a maximum total of 30 business days. This general APRA timeline applies to Medicaid-related records held by the Rhode Island Executive Office of Health and Human Services (EOHHS).",R.I. Gen. Laws § 38-2-3(e); Rhode Island Attorney General APRA guidance (http://www.riag.ri.gov/OpenGovernment/APRA.php),high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,anthropic/claude-opus-4.7,4,response_time,10 business days with 20 business days extension,"Under the Rhode Island Access to Public Records Act (APRA), public bodies must respond to public records requests within 10 business days. This deadline can be extended by an additional 20 business days for good cause. This applies to Medicaid-related records held by Rhode Island Executive Office of Health and Human Services (EOHHS) and other state agencies.",Rhode Island General Laws § 38-2-3(e) (Access to Public Records Act); http://webserver.rilin.state.ri.us/Statutes/TITLE38/38-2/38-2-3.HTM,high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,anthropic/claude-opus-4.7,5,response_time,10 business days with 20 business days extension,"Under the Rhode Island Access to Public Records Act (APRA), public bodies generally have 10 business days to respond to a public records request. This deadline may be extended by up to an additional 20 business days for good cause (such as the volume or complexity of the request). This general APRA timeline applies to records requests made to the Executive Office of Health and Human Services (EOHHS) and other agencies administering Medicaid in Rhode Island.","Rhode Island Access to Public Records Act, R.I. Gen. Laws § 38-2-3(e); http://webserver.rilegislature.gov/Statutes/TITLE38/38-2/38-2-3.htm",high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,anthropic/claude-opus-4.7,1,response_time,10 calendar days  with 14 calendar days extension,"Under the California Public Records Act (Government Code section 7922.535, formerly section 6253), agencies must determine whether a request seeks disclosable public records and notify the requester of that determination within 10 calendar days of receiving the request. In unusual circumstances, this deadline may be extended by up to 14 additional calendar days with written notice to the requester. Note that the initial 10-day response is a determination of whether records will be produced, not necessarily the production of the records themselves; records must then be produced promptly. This applies to records held by state agencies, including the Department of Health Care Services (which administers Medi-Cal, California's Medicaid program).",California Government Code section 7922.535 (https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=7922.535&lawCode=GOV),high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,anthropic/claude-opus-4.7,2,response_time,10 calendar days  with 14 calendar days extension,"Under the California Public Records Act (Government Code § 7922.535, formerly § 6253), agencies must determine whether a request seeks disclosable public records within 10 calendar days of receiving the request and promptly notify the requester of that determination. In unusual circumstances, this deadline may be extended by up to 14 additional days with written notice to the requester. Note that the 10-day period is for the agency's determination, not necessarily for producing the records, which must be provided promptly thereafter. This applies to records requests to agencies administering Medi-Cal (California's Medicaid program), such as the Department of Health Care Services.",California Government Code § 7922.535 (https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=7922.535&lawCode=GOV),high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,anthropic/claude-opus-4.7,3,response_time,10 calendar days  with 14 calendar days extension,"Under the California Public Records Act (Government Code § 7922.535, formerly § 6253), state and local agencies generally have 10 calendar days from receipt of a public records request to determine whether the request seeks disclosable public records and to notify the requester of that determination. In 'unusual circumstances,' the agency may extend this deadline by up to 14 additional calendar days with written notice to the requester. This applies to records requests made to agencies administering Medi-Cal (California's Medicaid program), such as the Department of Health Care Services (DHCS). Note that the 10-day period is for the agency's determination, not necessarily for producing the records themselves, which must be provided promptly thereafter.",California Government Code § 7922.535 (https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=7922.535&lawCode=GOV),high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,anthropic/claude-opus-4.7,4,response_time,10 calendar days  with 14 calendar days extension,"Under the California Public Records Act (Government Code section 7922.535, formerly section 6253), agencies must determine whether a request seeks disclosable public records and notify the requester of that determination within 10 calendar days of receiving the request. In 'unusual circumstances,' this deadline may be extended by up to 14 additional calendar days with written notice to the requester. Note that this 10-day period is for the agency's determination, not necessarily the actual production of records, which should occur promptly thereafter. These rules apply to Medi-Cal (California's Medicaid program) records held by the Department of Health Care Services, subject to applicable confidentiality exemptions.",California Government Code § 7922.535 (https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=7922.535&lawCode=GOV),high,True
